Item,Brand,In DCA1,DCA1 Sources,Customers,Order Lines,Units
Monin Caramel Syrup 1 Liter Plastic Bottle,Monin,No (gap),,4,13,237
Monin Chai Tea 750ml Glass,Monin,No (gap),,2,17,221
Monin Toasted Marshmallow Syrup 750ml Glass,Monin,No (gap),,8,29,205
Monin Banana Syrup 750ml Glass,Monin,No (gap),,9,33,167
Monin Chai Tea Concentrate 1 Liter Plastic Bottle,Monin,No (gap),,1,6,144
Dr. Smoothie 100% Crushed Strawberry Banana 46oz,Dr. Smoothie,No (gap),,2,13,120
Monin Lavender Syrup 1 Liter Plastic Bottle,Monin,No (gap),,4,15,112
Dr. Smoothie Strawberry Acai Refreshers 46 oz. Bottle,Dr. Smoothie,No (gap),,3,19,105
Monin White Peach Syrup 750mL Glass,Monin,No (gap),,4,16,91
Monin Rock Melon Cantaloupe Syrup 1 Liter Plastic Bottle,Monin,No (gap),,1,2,88
Monin Tiramisu Syrup 750 ml Glass Bottle,Monin,No (gap),,2,11,85
Torani Vanilla Syrup 750ml Glass Bottle,Torani,No (gap),,2,14,77
Dr. Smoothie Classic Chai 3.5lb Bag,Dr. Smoothie,No (gap),,1,11,74
Dr. Smoothie Peach Mango Refreshers 46 oz. Bottle,Dr. Smoothie,No (gap),,2,14,73
Dr. Smoothie 100% Crushed Tropical Sunshine 46oz Bottle,Dr. Smoothie,No (gap),,2,10,72
Monin Ruby Red Grapefruit Syrup 1L Plastic,Monin,No (gap),,5,13,68
Torani Real Fruit Mango Smoothie Mix 64 oz. Bottle(s),Torani,No (gap),,1,18,67
Monin Dragon Fruit Syrup 1 Liter Plastic Bottle,Monin,No (gap),,3,13,66
Ghirardelli Caramel Sauce 87.3oz Bottle,Ghirardelli,No (gap),,3,17,65
Monin Rose Syrup 750ml Glass,Monin,No (gap),,5,11,63
Monin Elderflower Syrup 750ml Glass,Monin,No (gap),,3,5,62
Monin Passion Fruit Syrup 1 Liter Plastic Bottle,Monin,No (gap),,4,13,61
Torani Real Fruit Strawberry Banana Smoothie Mix 64 oz. Bottle(s),Torani,No (gap),,1,15,60
Monin Sugar Free Caramel Syrup 750ml Glass,Monin,No (gap),,8,25,58
Monin Blackberry Syrup 750ml Glass,Monin,No (gap),,7,20,57
1883 Strawberry Smoothie 1L/33.8 oz. Carton,1883,No (gap),,1,5,56
Torani Hazelnut Syrup 750ml Glass Bottle,Torani,No (gap),,3,15,55
Torani Lavender Syrup 750ml Glass Bottle,Torani,No (gap),,2,12,51
Monin Cherry Syrup 750ml Glass,Monin,No (gap),,6,21,48
Torani CLASSIC CARAMEL Syrup 750 ml Glass Bottle,Torani,No (gap),,1,12,47
Dr. Smoothie Watermelon Cucumber Mint Refreshers 46 oz. Bottle,Dr. Smoothie,No (gap),,2,11,46
Ghirardelli Vanilla Sauce 87.3oz Bottle,Ghirardelli,No (gap),,1,11,45
Torani Real Fruit Strawberry Smoothie Mix 64 oz. Bottle(s),Torani,No (gap),,2,15,45
Dr. Smoothie 100% Crushed Peach Pear Apricot 46oz Bottle,Dr. Smoothie,No (gap),,4,11,43
Monin Toffee Nut Syrup 750ml Glass,Monin,No (gap),,8,18,43
Dr. Smoothie 100% Crushed Mango Tropics 46oz,Dr. Smoothie,No (gap),,4,11,40
Dr. Smoothie 100% Four Berry Blend 46oz,Dr. Smoothie,No (gap),,2,11,39
Monin Blood Orange Syrup 1L Plastic,Monin,No (gap),,6,12,38
Torani Coconut Syrup 750ml Glass Bottle,Torani,No (gap),,3,13,37
Monin Blue Cotton Candy Syrup 1L Plastic Bottle,Monin,No (gap),,4,10,36
Dr. Smoothie Dragon Fruit Lychee Refreshers 46 oz. Bottle,Dr. Smoothie,No (gap),,2,12,35
Monin Lemon Syrup 750ml Glass,Monin,No (gap),,3,8,34
1883 Macadamia Nut Syrup 1 Liter Plastic Bottle,1883,No (gap),,3,6,33
Ghirardelli White Chocolate Sauce 87.3oz Bottle,Ghirardelli,No (gap),,1,22,33
Torani Puremade Dark Chocolate Sauce 64oz Bottle,Torani,No (gap),,1,3,28
Monin Lavender Lemon Syrup 750 ml Bottle(s),Monin,No (gap),,1,7,27
Monin Sugar Free Hazelnut Syrup 1 Liter Plastic Bottle,Monin,No (gap),,1,3,27
Monin Guava Fruit Puree 1 Liter Bottle(s),Monin,No (gap),,3,5,26
Monin Brown Butter Toffee Syrup 750 ml Glass Bottle,Monin,No (gap),,1,5,25
1883 Sugar Free Vanilla Syrup 1L PLASTIC,1883,No (gap),,4,10,24
Dr. Smoothie 100% Crushed Strawberry 46oz,Dr. Smoothie,No (gap),,3,7,24
Monin Pear Syrup 750mL Glass,Monin,No (gap),,1,6,24
Monin Cookie Butter Syrup 750ml Glass,Monin,No (gap),,4,11,22
Monin Sugar Free Caramel Syrup 1 Liter Plastic Bottle,Monin,No (gap),,2,3,22
Monin Classic Watermelon Syrup 1 Liter Plastic Bottle,Monin,No (gap),,1,4,21
Monin French Raspberry Syrup 750mL Glass,Monin,No (gap),,4,5,21
Monin Mojito Mix Syrup 750ml Glass,Monin,No (gap),,2,5,21
Monin Sea Salt Caramel Toffee Sauce 64 oz. Bottle(s),Monin,No (gap),,2,10,21
Monin Blackberry Sangria Mix 1 Liter Plastic Bottle,Monin,No (gap),,1,2,20
Monin Dark Chocolate Syrup 750ml Glass,Monin,No (gap),,1,5,20
Torani Puremade Caramel Sauce 64oz Bottle,Torani,No (gap),,1,2,20
Monin Blue Raspberry Syrup 1 Liter Plastic Bottle,Monin,No (gap),,3,5,19
1883 Strawberry Banana Smoothie 1L/33.8 oz. Carton,1883,No (gap),,2,5,18
Monin Hazelnut Syrup 1 Liter Plastic Bottle,Monin,No (gap),,2,4,18
Monin Peach Smoothie 46oz,Monin,No (gap),,2,5,18
Monin Pineapple Syrup 1 Liter Plastic Bottle,Monin,No (gap),,4,7,18
Monin Wild Strawberry Syrup 1 Liter Bottle(s),Monin,No (gap),,1,9,17
Torani Almond (Orgeat) Syrup 750 ml Glass Bottle,Torani,No (gap),,2,6,17
Torani Brown Sugar Cinnamon Syrup 750ml Glass Bottle,Torani,No (gap),,2,14,17
Torani Dairy Friendly Red Raspberry Syrup 750ml Glass Bottle,Torani,No (gap),,1,9,17
Torani Toasted Marshmallow Syrup 750ml Glass Bottle,Torani,No (gap),,2,11,17
Dr. Smoothie Matcha Green Tea Latte 3.5 lb. Bag(s),Dr. Smoothie,No (gap),,1,5,15
Monin Wild Grape Syrup 1 Liter Plastic Bottle,Monin,No (gap),,2,6,15
Torani Cinnamon Syrup 750ml Glass Bottle,Torani,No (gap),,1,10,15
Torani Raspberry Syrup 750ml Glass Bottle,Torani,No (gap),,2,2,15
Torani Strawberry Syrup 750ml Glass Bottle,Torani,No (gap),,2,4,15
Monin Cinnamon Bun Syrup 1 Liter Plastic Bottle,Monin,No (gap),,3,4,14
Monin Granny Smith Apple Syrup 750ml Glass,Monin,No (gap),,1,4,14
Monin Mandarin Orange Syrup 750mL Glass,Monin,No (gap),,2,5,14
1883 Peach Smoothie 1/33.8 oz. Carton,1883,No (gap),,1,4,13
Boylan Bottling Co. Seasonal Shirley Temple 12oz Bottle,Boylan Bottling Company,No (gap),,8,12,13
Monin Pomegranate Syrup 750ml Glass,Monin,No (gap),,2,4,13
Monin Toasted Almond Mocha Syrup 750ml Glass,Monin,No (gap),,2,2,13
Torani English Toffee Syrup 750 ml Glass Bottle,Torani,No (gap),,1,9,13
Torani SUGAR FREE CLASSIC CARAMEL Syrup with Splenda 750ml Glass Bottle,Torani,No (gap),,2,2,13
Monin Coconut Puree 1L,Monin,No (gap),,2,5,12
Monin French Vanilla Syrup 1 Liter Plastic Bottle,Monin,No (gap),,1,1,12
Torani Orange Syrup Dairy Friendly 750ml Glass Bottle,Torani,No (gap),,1,1,12
Torani Pineapple Syrup 750ml Glass Bottle,Torani,No (gap),,1,1,12
Torani Puremade White Chocolate Sauce 64oz Bottle,Torani,No (gap),,1,1,12
Dr. Smoothie Jamocha 3.5 lb. Bag(s),Dr. Smoothie,No (gap),,1,4,11
Ghirardelli Sweet Ground Chocolate Powder 30lb Box,Ghirardelli,No (gap),,1,11,11
Monin Sugar Free Strawberry Syrup 750mL Glass,Monin,No (gap),,2,4,11
Pacific Barista Unsweetened Almond Milk 32oz,Pacific Foods,No (gap),,1,6,11
Torani Creme de Banana Syrup 750ml Glass Bottle,Torani,No (gap),,2,2,11
Monin Maple Pancake Syrup 750ml Glass Bottle,Monin,No (gap),,1,3,10
