UUID,Account Name,Group,Location,State,Zip,Current Delivery Day,New Delivery Day
af492171-9c65-4977-928d-2de10f83344b,Blank Street - 48 West Broadway,Blank Street,Boston,MA,02127,Tues - Fri,Mon to Fri
6618afab-9dfd-43c4-8efa-bdae9add2928,Blank Street - 61A Central Street,Blank Street,Wellesley,MA,02482,Tues - Fri,Mon to Thur
abcdaf05-e0b9-4433-9832-ab2ff68b2000,Blank Street - 97 Charles Street,Blank Street,Boston,MA,02114,Tues - Fri,Mon to Fri
25cfd9d4-8c13-4ed5-b8a9-ac1f31d5f1c8,Blank Street - 122 Causeway St,Blank Street,Boston,MA,02114,Tues - Fri,Mon to Fri
541f0d0e-1ddc-4288-a713-aae705db9b63,Blank Street - 250 West Newton Street,Blank Street,Boston,MA,02116,Tues - Fri,Mon to Fri
63cf8aa0-a7d4-4431-ae9c-12de5fb537fd,Blank Street - 276 Washington Street,Blank Street,Boston,MA,02108,Tues - Fri,Mon to Fri
9568a168-5de6-4a6d-9fa7-730c7da17600,Blank Street - 282 Cambridge Street,Blank Street,Boston,MA,02114,Tues - Fri,Mon to Fri
58f850e7-6e93-4cd3-960b-c22f2525e016,Blank Street - 455 Harvard Street,Blank Street,Brookline,MA,02446,Tues - Fri,Mon to Fri
ab4eb9a1-3fa3-47f1-9045-01d9a77301d8,Blank Street - 489 East Broadway,Blank Street,Boston,MA,02127,Tues - Fri,Mon to Fri
b3f3d15c-9082-4681-bda0-58fa1faa31f8,Blank Street - 501 Cambridge Street,Blank Street,Boston,MA,02134,Tues - Fri,Mon to Fri
3131861d-f02d-4cba-b60d-4f522f503ff6,Blank Street - 647 Boylston Street,Blank Street,Boston,MA,02116,Tues - Fri,Mon to Fri
998862b7-ba8c-4c94-bacd-f921b3a3bc5f,Blank Street - 1380 Massachusetts Avenue,Blank Street,Cambridge,MA,02138,Tues - Fri,Mon to Fri
0eb5da98-66ff-40eb-99e2-4002a2a367fb,Blank Street - Prudential Center - 111 Huntington Ave,Blank Street,Boston,MA,02199,Tues - Fri,Mon to Fri
7bc87013-7416-42fc-9a15-257e81521bf8,Blank Street - Training Lab - Boston - 250 W Newton St,Blank Street,Boston,MA,02116,Tues - Fri,Mon to Fri
96b14b16-392f-46ef-8269-fde31e9e21b0,Van Leeuwen - Boston Seaport #2503,Van Leeuwen,Boston,MA,02210,Tues - Fri,Mon to Fri
1470ab63-5eae-4f3d-a298-5c8ab3f268a0,Van Leeuwen - Burlington Mall #2508,Van Leeuwen,Burlington,MA,01803,Tues - Fri,Mon to Fri
d0efe4cf-4020-45a2-9d9f-caf9153e9444,Van Leeuwen - Chestnut Hill #2502,Van Leeuwen,Newton,MA,02467,Tues - Fri,Mon to Fri
b47f8916-5e49-4f6d-91c4-f4e99f886e06,Van Leeuwen - Fenway #2505,Van Leeuwen,Boston,MA,02215,Tues - Fri,Mon to Fri
6d6df56d-0450-48f4-ae92-ea01417a1dd0,Van Leeuwen - Harvard Square #2501,Van Leeuwen,Cambridge,MA,02138,Tues - Fri,Mon to Fri
a305e919-8832-489d-825f-0e8208e04486,Van Leeuwen - Linden Square #2504,Van Leeuwen,Wellesley,MA,02482,Tues - Fri,Mon to Thur
e6755f87-c2d2-4b85-a4c9-f1107160e7f2,Van Leeuwen - Lyrik #2506,Van Leeuwen,Boston,MA,02215,Tues - Fri,Mon to Fri
b8c687b9-955a-42ec-9930-2bbce8ff709c,Van Leeuwen - Northshore Mall #2507,Van Leeuwen,Peabody,MA,01960,Tues - Fri,Mon to Fri
